ETid,Country,Date of Decision,Fine (EUR),Sector,Type of Violation,Summary,manual_label,confidence,notes
3173,Belgium,5/12/2026,86000,Public Sector and Education,Insufficient legal basis for data processing,"The Belgian DPA has imposed a fine of EUR 86,000 on Société Wallonne des Eaux. The controller had been recording and listening to phone calls with customers for service control and staff training purposes. However, the controller failed to adequately inform its employees about the recording of calls. Additionally, the controller failed to enter into a sufficient data processing agreement with a processor. The controller had also been reprimanded for having an insufficient legal basis for certain recordings, for additional violations regarding transparency towards its employees, for retaining certain recordings for longer than one month, for failing to conduct a data protection impact assessment, and for failing to inform the DPA of data breaches.",not_cyber,High,call recording without informing employees (legal basis)
2758,Poland,7/21/2025,43000,Employment,Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 43,000 on 24/7 Communication Sp. z o.o. The fined entity acted as the data processor for McDonald’s Polska Sp. z o.o. (see ETid: 2757). The processor failed to implement sufficient technical and organisational measures to ensure data security, resulting in a data breach. The controller additionally infringed the principle of data minimisation and failed to adequately involve the DPO in relevant activities.",unclear,Medium,processor data breach; vague
2915,Poland,10/27/2025,9450,Health Care,Insufficient fulfilment of data breach notification obligations,"The Polish DPA has imposed a fine of EUR 9,450 on a Gynecological Center. The controller sufferd a data breach and failed to report this to the DPO.",unclear,Low,breach + failed to report; no detail
2493,Poland,11/26/2024,6900,Health Care,Insufficient fulfilment of data breach notification obligations,"The Polish DPA has fined a district hospital in Września EUR 6,900 for failing to report a data breach to the DPA and data subjects in a timely manner. A patient had accidentally received another individual's medical records and was able to access their personal data.",cyber_nonmalicious,High,patient got another patients records
874,Italy,9/16/2021,5000,Individuals and Private Associations,Non-compliance with general data processing principles,"The Italian DPA (Garante) has imposed a fine of EUR 5,000 on the Ciechi Ardizzone Gioeni di Catania residential home for blind people. A visitor to the residence filed a complaint with the DPA. He based this on an installed video surveillance system in the accommodation. The video surveillance system recorded, among other things, the corridor connecting the accommodation with the communal showers. Moreover, the footage was not only recorded but also displayed in real time on the monitors of the concierge staff, creating the risk that the images could also be inadvertently seen by visitors or suppliers. During the course of the investigation, the institution's administration justified the installation of the video surveillance system by citing the need to prevent theft and ensure the health of residents by preventing unauthorized access during the pandemic period. 

The DPA found that the institute thereby violated the principles of lawfulness, transparency and data minimization. The fact that, as claimed by the institute, the passage of the guests to the shower rooms was filmed only occasionally and for a short duration, and that the quality of the recordings was not ""perfectly clear,"" does not resolve the unlawfulness of the recordings. Also, the DPA noted that some procedural precautions - such as scheduling time windows to turn off the cameras to allow guests to visit the shower rooms without being filmed, or temporarily ensuring the security of the locations through alternative measures, such as the use of security personnel - may allow the institute to pursue the purpose of the video surveillance in an equally effective manner and avoid unjustifiably restricting the freedoms of the data subjects.

Furthermore, the DPA found that the institute had not properly fulfilled its duty to inform. The institute had only provided the data subjects with detailed information about the video surveillance system on the bulletin board after the investigation had begun. However, this type of information is not suitable for visually impaired people. The institute should have provided the residents with a pre-recorded audio message that could be played back if necessary.",not_cyber,High,CCTV of corridor/showers displayed on monitors
752,United Kingdom,7/5/2021,29000,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"The ICO has fined transgender charity Mermaids EUR 29,000 for failing to protect the personal data of its users, in breach of Art. 5 (1) f) UK GPDR and Art. 32 (1), (2) UK GDPR. 
The ICO conducted an investigation after it received a report of a data breach relating to an internal email group.
During the investigation, the ICO found that the group was created with insufficiently secure settings, resulting in approximately 780 pages of confidential emails being viewable online for nearly three years.  This resulted in personal information, such as names and email addresses, of 550 people being online. 
The ICO concludes that Mermaids should have restricted access to its email group and could have considered pseudonymization or encryption to provide additional protection for the personal data. Organizations responsible for personal data must ensure that they take the appropriate technical and organizational measures to ensure the security of personal data.",cyber_nonmalicious,High,"insecure email group, pages viewable online 3 years"
1161,Denmark,5/12/2022,13400,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The Danish DPA has imposed a fine of EUR 13,400 on the Danish agency Civilstyrelsen. 

A Civilstyrelsen USB stick containing more than 800 pages of sensitive and confidential information had been lost. During its investigation, the DPA found that the USB stick was not encrypted. In addition, the agency did not have any policies for its employees on the use of removable and portable media.

Moreover, the DPA found that despite being aware of this data breach, the agency had not reported the breach, contrary to its obligation under Art. 33 GDPR. 

The DPA concluded that the agency had not taken appropriate technical and organizational measures to protect personal data. Encryption of removable media, for example, is a necessary and required security measure, especially if the removable media contain sensitive information such as personal data.",cyber_nonmalicious,High,"USB with 800 pages lost, unencrypted"
432,Cyprus,10/22/2020,6000,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"A police officer had unauthorized access to a database holding personal data about vehicle owners and used the database for non-official purposes to pass information from the database to a third party. In this respect, the organizational and technical measures taken by the police to prevent unauthorized access to the database were insufficient to prevent the unauthorized disclosure of personal data to third parties.",cyber_malicious,Medium,police officer accessed DB and passed to third party - insider
872,Austria,2021,4000000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"Original fine summary: The Austrian DPA has imposed a fine of EUR 4,000,000 on a credit institution. The controller had stored an Excel file containing personal data, such as customers' account information, on an internal drive for the purpose of internal administration of bank customers. The file could be accessed and viewed by all branch employees as needed. The Excel file was neither encrypted nor protected by other adequate measures against unauthorized access or unintentional disclosure to third parties. An employee inadvertently sent the Excel list to 234 customers, disclosing the personal data of approximately 5,971 customers. The DPA therefore found that the controller had failed to implement adequate technical and organizational measures to protect personal data.
Update: The fine was reduced from EUR 4,000,000 to EUR 50,000 following a court ruling in 2024.",cyber_nonmalicious,High,Excel accessible to all staff; emailed to 234 customers
2727,Romania,6/26/2025,3000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3,000 on SC Tremend Software Consulting SRL. The controller did not implement sufficient technical and organisational measures to ensure information security, resulting in a data breach.",unclear,Medium,vague data breach
2378,Spain,6/10/2024,160000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine on ALLIANZ COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.. A person had filed a complaint with the DPA because their ex-partner had been given unauthorized access to the data subject's insurance documents. The original fine of EUR 200,000 was reduced to EUR 160,000 due to immediate payment.",cyber_nonmalicious,Medium,ex-partner given unauthorized access to docs
3139,Cyprus,8/5/2025,25000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Cypriot DPA has imposed a fine of EUR 25,000 on the Bank of Cyprus Public Company Limited. The controller failed to implement adequate technical and organisational measures to ensure data security, resulting in a data breach.",unclear,Medium,vague data breach
2690,Romania,2/5/2025,5000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 5,000 on FARMEC SA. The controller failed to implement sufficient technical and organisational measures to ensure data security, resulting in a data breach.",unclear,Medium,vague data breach
2699,Romania,3/12/2025,5000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 5,000 on Automobilus International S.R.L. The controller failed to implement sufficient technical and organisational measuresto ensure data security, resulting in a data breach.",unclear,Medium,vague data breach
1895,Romania,6/15/2023,8000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 8,000 on Artima S.A.. The controller had reported a data breach to the DPA. During its investigation, the DPA found that employees of the controller had accessed the video surveillance system and filmed the monitor containing the recorded images with their cell phones. One of the employees then transmitted the images to a third person, who posted the images on Facebook. The DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data.",cyber_malicious,Low,"employees filmed CCTV, leaked to media - insider vs not_cyber"
608,Norway,3/15/2021,4900,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The Norwegian DPA (Datatilsynet) imposed a fine of EUR 4,900 on the municipality of Ålesund. At two schools in Ålesund, teachers asked students to download the training app Strava for physical education classes. The students were then given tasks that the teachers controlled via the tracking function. According to the Norwegian DPA's investigation, this resulted in data breaches because the municipality failed to provide standard procedures for privacy-compliant app use in schools. For example, a data protection impact assessment was not carried out, although this would have been necessary in view of the potential risk to the students. In addition, adequate technical and organizational security measures had not been implemented to ensure the protection of the processing.",not_cyber,Low,school app / DPIA compliance; borderline
2333,Poland,4/29/2024,56000,Accomodation and Hospitality,Insufficient technical and organisational measures to ensure information security,"The Polish DPA (UODO) has imposed a fine of EUR 56,000 on Res-Gastro M. Gaweł Sp. k. The controller had reported a data breach involving the loss of an unencrypted USB stick by an employee. The data medium contained documents with data such as name, adress, gender, date of birth etc. of another employee. During its investigation, the DPA found that the controller had failed to implement appropriate technical and organizational measures to protect personal data in order to prevent such an incident.",cyber_nonmalicious,High,unencrypted USB lost
3064,Poland,2/10/2026,5220,Individuals and Private Associations,Non-compliance with general data processing principles,"The Polish DPA has imposed a fine of EUR 5,220 on Fundację Lumus. The controller suffered a personal data breach as a result of forwarding a document without prior redaction and failed to adequately notify the DPA. In addition, the controller appointed a member of its board as DPO, who later became its president, thereby giving rise to a conflict of interest. The controller also failed to notify the DPA of the designation of the DPO.",cyber_nonmalicious,Medium,forwarded document without redaction + DPO conflict
36,Hungary,2/28/2019,3200,Public Sector and Education,Insufficient legal basis for data processing,"The fine was imposed on the Mayor’s Office of the city of Kecskemét for unlawful disclosure of the personal information of a whistleblower.NAIH imposed the fine after an employee of an organisation that it supervised reported a public interest complaint directly to it against his employer. After the organisation learned of the complaint, it requested details in order to investigate, and the local government accidentally revealed the complainant's name. The NAIH considered it an aggravating factor that as a result of the data breach, the organisation fired the person who made the report.",cyber_nonmalicious,Medium,accidentally revealed whistleblower name
798,Spain,7/27/2021,3000,Employment,Non-compliance with general data processing principles,"The Spanish DPA (AEPD) has imposed a fine of EUR 3,000 on UST GLOBAL ESPAÑA, S.A.. An employee filed a complaint against the controller with the DPA. UST GLOBAL ESPAÑA, S.A. was acting as a service provider for OpenBank as part of a project. On 08.01.2020, the controller informed OpenBank by email that two new employees (one of them the complainant) would join the project, for which it requested access to the VPN and other applications. This email, which was sent with a copy to both employees, included their first and last names, professional email addresses, and ID card numbers. This way, both gained mutual unauthorized access to their colleague's data. The DPA considered this to be a violation of the principle of integrity and confidentiality.",cyber_nonmalicious,High,email over-disclosed employees data (mutual access)
2260,Poland,3/12/2024,326000,"Finance, Insurance and Consulting",Insufficient fulfilment of data breach notification obligations,"The Polish DPA has fined Santander Bank Polska S.A. EUR 326,000 for failing to report a data breach to the DPA and data subjects in a timely manner.",unclear,Low,failed to report breach; no detail
1908,Poland,5/5/2023,2200,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 2,200 on a municipality. The controller had reported a data breach to the DPA. An employee had unauthorizedly copied a document containing personal data from a company computer onto an unauthorized data carrier. During its investigation, the DPA found that the controller had failed to implement appropriate technical and organizational measures to prevent such unauthorized copying and to protect personal data.",cyber_nonmalicious,Low,employee copied doc to USB - insider; which class?
2275,Spain,6/22/2022,1600,"Finance, Insurance and Consulting",Insufficient fulfilment of data breach notification obligations,"The spanish DPA has fined URQUÍA & BAS, CORREDURÍA DE SEGUROS S.L.for failing to report a data breach to the DPA in a timely manner. The original fine of EUR 2,000 was reduced to EUR 1,200 due to voluntary payment and admission of responsibility.",unclear,Low,failed to report breach; no detail
1432,Spain,10/9/2022,64000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on EVERIS SPAIN S.L.. Everis had published information on sold data of users of an insurance company as well as records with personal data of Spanish customers of the insurance company. The DPA considered this a violation of the confidentiality of the data. The DPA also found that the unlawful publication of the data had been possible due to, among other things, a lack of technical and organizational measures to protect personal data at the time of the data breach. The original fine of EUR 80,000 was reduced to EUR 64,000 due to voluntary payment.",cyber_nonmalicious,Medium,unlawful publication of sold data + TOM failure
1393,Romania,9/8/2022,8000,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has fined Realmedia Network SA EUR 8,000. The company had suffered security breaches on a website it operates. This allowed it to leak and access unauthorized data. The data involved included surnames, first names, telephone numbers, e-mail addresses, postal addresses, signatures, copies of ID cards, bank data and information from land register extracts of the data subjects. A total of 194,309 people were affected by the security incident. The DPA found that the company had failed to take adequate technical and organizational measures to ensure a level of data security appropriate to the processing risk.",cyber_malicious,Low,security breaches on website leaked data; attack implied
1696,Ireland,2/27/2023,750000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Irish DPA has fined Bank of Ireland 365 EUR 750,000. The bank had notified the DPA of 10 data breaches linked to the bank's app. Unauthorized persons had managed to gain access to the app as well as to other individuals' accounts. The DPA determined that this data breach was facilitated due to the bank's failure to implement appropriate technical and organizational measures to protect personal data.",cyber_malicious,Medium,unauthorized persons accessed app and accounts
1158,Italy,4/26/2022,1000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA (Garante) has imposed a fine of EUR 1,000 on ASST di Lodi. 

The healthcare facility had reported a data breach to the DPA pursuant to Art. 33 GDPR. A patient had provided two contacts for their medical affairs. The facility had been explicitly authorized to obtain medical information of the patient from these two persons in case of emergency. 
In the context of an important diagnostic examination of the patient, the two authorized contacts were not reachable, so a healthcare facility employee asked a family member they personally knew for the information.  

During its investigation, the DPA found that the healthcare facility processed the data subject's information without the data subject's consent and, therefore, without a valid legal basis. 

In addition, the DPA concluded that the healthcare facility had not taken appropriate technical and organizational measures to protect personal data in order to prevent such incidents.",not_cyber,Medium,processed data without consent (legal basis)
2726,Romania,6/26/2025,3000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3,000 on Selgros Cash & Carry SRL. The controller did not implement sufficient technical and organisational measures to ensure information security, resulting in a data breach.",unclear,Medium,vague data breach
1099,Italy,2/10/2022,3500,Health Care,Insufficient legal basis for data processing,"The Italian DPA (Garante) has imposed a fine of EUR 3,500 on Azienda socio sanitaria territoriale Melegnano e della Martesana. The DPA initiated an investigation against the controller after it reported a data breach to the DPA. A patient had mistakenly received medical records and clinical documentation from another patient in his digital medical record.",cyber_nonmalicious,High,patient got another patients records
2851,Spain,8/22/2025,18000,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 18,000 on the GRUPO BONATEL SL. The controller suffered a data leak due to insufficient technical and organisational measures to ensure data security. The original fine of EUR 30,000 was reduced to EUR 18,000 due to immediate payment and admission of responsibility by the controller.",unclear,Medium,vague data leak
2771,Austria,6/6/2024,100000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Austrian DPA has imposed a fine of EUR 100,000 on a Covid 19 test lab. The controller failed to implement sufficient technical and organisational measures, resulting in a data breach. Furthermore, the controller refused to inform the data subjects of the breach. The DPA also found that the controller processed certain data without a sufficient legal basis, used a processor without the necessary contract, failed to designate a suitable DPO, and failed to report the designation to the DPA.",unclear,Medium,data breach + compliance; vague
1819,Cyprus,5/2/2023,9000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Cypriot DPA has imposed a fine of EUR 9,000 on NAGA Markets Europe Ltd. The controller had suffered a data breach in which an unknown person accessed the company's database, holding the data of approximately 342,000 customers. The DPA found that the controller had not implemented appropriate technical and organizational measures to protect personal data, which facilitated such a breach.",cyber_malicious,High,unknown person accessed database of 342k
3198,Poland,4/30/2026,1790,Public Sector and Education,Insufficient fulfilment of data breach notification obligations,"The Polish DPA has imposed a fine of EUR 1,790 on the Mayor of the City and Municipality of Myślenice. The controller suffered a data breach when an unanonymised list of petition supporters was accidentally published due to an employee's error. The controller failed to report the breach to the DPA.",cyber_nonmalicious,High,petition supporters list accidentally published
422,Cyprus,10/19/2020,15000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The data subject made a claim for access to information according to Art. 15 GDPR, which could not be answered, since the insurance contract of the data subject could not be found and has been lost. This constituted a violation of the rights of the data subject under Art. 15 GDPR as well as a violation of the obligations to protect personal data according to Art. 5 (1) f) GDPR and Art. 32 GDPR. In addition, the Data Breach Notification Obligations pursuant to Art. 33 f. GDPR have also been violated, as the data subject was not informed about the security incident in due time.",cyber_nonmalicious,Medium,insurance contract lost
2691,Romania,2/6/2025,3000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3,000 on Omniasig Vienna Insurance Group S.A. The controller failed to implement sufficient technical and organisational measures to ensure data security, resulting in a data breach.",unclear,Medium,vague data breach
1069,Poland,12/1/2021,4000,Industry and Commerce,Insufficient cooperation with supervisory authority,Fine for not answering requests for further information of the supervisory authority in due time following a data breach.,not_cyber,High,no answer to DPA (cooperation)
1527,France,12/8/2022,300000,"Media, Telecoms and Broadcasting",Insufficient fulfilment of data subjects rights,"The French DPA has imposed a fine of EUR 300,000 on FREE SAS. 

The DPA had received several complaints from individuals experiencing difficulties in exercising their rights to access and delete their personal data at FREE.   

During its investigation, the DPA found that the company did not process the requests for access and deletion of personal data in a timely manner. 

The DPA also found that the company failed to ensure the security of personal data. For example, the company allowed users to use insecure passwords and user passwords were stored unencrypted in the company's databases. 

Finally, the DPA found that the company had not adequately documented a data breach.",not_cyber,Medium,mainly subject rights; security secondary
273,Sweden,4/29/2020,18700,Public Sector and Education,Insufficient fulfilment of data breach notification obligations,The DPA's decision shows that it took almost five months for the company to notify the data subjects of a data breach and almost three months for the DPA to receive a notification of a data breach concerning an security lack of IT systems of the company.,unclear,Low,late notification of IT-security breach; no detail
1198,Romania,6/3/2022,2000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 2,000 on Kaufland România SCS. The controller had reported two data breaches to the DPA pursuant to Art. 33 GDPR. 

An employee who processed a complaint had not followed the internal procedure for handling complaints, allowing a security guard to view and misuse the complainant's data. 

In addition, the controller had mistakenly forwarded the data in a customer order form to an unauthorized third party. This led to the disclosure of personal data (first name, last name, e-mail address, telephone number) of the affected Kaufland customer. 

For this reason, the DPA found that the controller had not taken appropriate technical and organizational measures to ensure the protection and security of personal data.",cyber_nonmalicious,Medium,guard viewed complainant data + misforwarded order
2618,Spain,3/30/2025,3500,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA (AEPD) has imposed a fine of EUR 3,500 on MAD COOL FESTIVAL S.L. The controller suffered a data breach due to insufficient technical and organizational measures. The total fine consists of a fine of EUR 2,000 for infringing on Art. 5(1)(f) GDPR, and EUR 1,500 for the violation of Art. 32 GDPR. The total sum can be reduced by 20% (resulting in a fine of EUR 2,800) with timely payment.",unclear,Medium,vague data breach
1424,Italy,7/7/2022,45000,Health Care,Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 45,000 on Senseonics Inc. The company had reported a data breach to the DPA pursuant to Art. 33 GDPR, involving an employee accidentally sending an information campaign by email to a large number of recipients in an open distribution list. This made it possible for all recipients to view the email addresses of the other recipients.  
The recipients of the e-mails were diabetic patients, making it possible to obtain information about the health status of the data subjects via the e-mails. 

In the course of its investigation, the DPA also identified other privacy violations involving the glucose monitoring system produced by the company. 

By downloading the monitoring app, users were required to accept both the contractual terms of use and the content of the privacy policy with a single ""click."" 

This did not allow them to separately give their consent to the individual processing operations, including the processing of health data.

Further, the DPA found that the company had violated the principles of fairness and transparency by providing users with confusing and sometimes erroneous information regarding the processing of personal data.

In addition, the company failed to designate its representative in the European Union as the contact person for all data protection issues.",cyber_nonmalicious,High,open distribution list to diabetic patients
2375,Romania,6/25/2024,3000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3,000 on Rețele Electrice Muntenia SA. A user who logged into their account was able to access the personal data of other customers. During its investigation, the DPA found that the controller had failed to implement appropriate technical and organizational measures to protect personal data.",cyber_nonmalicious,High,logged-in user could access others data
59,Romania,7/2/2019,15000,Accomodation and Hospitality,Insufficient technical and organisational measures to ensure information security,"The breach of data security was that a printed paper list used to check breakfast customers and containing personal data of 46 clients who stayed at the hotel's WORLD TRADE CENTER BUCHAREST SA was photographed by unauthorized people outside the company, which led to the disclosure of the personal data of some clients through online publication. The operator of WORLD TRADE CENTER BUCHAREST SA has been sanctioned because it has not taken steps to ensure that data is not disclosed to unauthorized parties.",cyber_nonmalicious,Low,printed list photographed by outsiders; borderline
555,The Netherlands,2/11/2021,440000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Dutch DPA (AP) imposed a fine of EUR 440,000 on the Amsterdam hospital OLVG. The controller had taken insufficient measures between 2018 and 2020 to prevent access by unauthorized employees to medical records. The controller did not check adequately who had access to which file nor did the controller ensure that the computer system presented sufficient security. This resulted, among others, in working students and other employees being able to access patient files without this being necessary for their work. Besides medical records, the patient files also contained, the social security numbers, addresses and telephone numbers of the data subjects.",cyber_malicious,High,"attackers compromised CCTV cameras, posted images"
2510,Spain,11/22/2024,220000,Employment,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has fined CARTONAJES BAÑERES, S.A. EUR 220,000. During its investigation, the DPA found that the controller had failed to grant a former employee access to their personal data. The DPA also found that the controller had failed to carry out a data protection impact assessment regarding the operation of a biometric facial recognition system installed to track working hours.",not_cyber,High,subject-access failure + biometric no DPIA
1238,Romania,6/20/2022,1000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 1,000 on SC Interactions Marketing SRL. The controller had sent advertising messages by e-mail to several people on behalf of another company. One of the recipients had filed a complaint with the DPA due to the fact that the controller had sent the advertising messages in an open distribution list, making the email addresses of all recipients visible to the other recipients.",cyber_nonmalicious,High,advertising emails open distribution list
2314,Romania,5/9/2024,2000,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 2,000 on IRIDEX GROUP SALUBRIZARE SRL. The controller had sent an e-mail to customers without using the blind copy option, revealing the email addresses of all recipients to the other recipients.",cyber_nonmalicious,High,email without BCC
2472,Romania,10/28/2024,5000,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA fined Vodafone Romania S.A. EUR 5,000 for sending emails to different recipients without including them in the blind carbon copy (BCC) list. This resulted in the unauthorized disclosure of email addresses to other recipients.",cyber_nonmalicious,High,emails without BCC
1997,Italy,6/1/2023,10000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has imposed a fine of EUR 10,000 on Camedi s.r.l. Medical Center. A person had filed a complaint with the DPA because they had received invoices as well as appointment reminders from another patient with the same name as theirs.",cyber_nonmalicious,High,invoices/reminders from another same-name patient (mix-up)
85,Romania,10/9/2019,20000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,Raiffeisen Bank Romania carried out scoring assessments on the basis of personal data of individuals registered on the Vreau Credit platform provided by the platform's staff via WhatsApp and then returned the result to Vreau Credit using the same means of communication.,cyber_nonmalicious,Low,scoring data via WhatsApp; borderline not_cyber
213,Italy,1/23/2020,30000,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The fine is based on the fact that, according to the data protection authority, the Sapienza Università made available online identification data of two people who had reported possible illegal behaviour to the university. This was due to the lack of adequate technical access control measures within the whisleblowing management system, which had not limited access to such data to authorized personnel only.",cyber_malicious,Medium,police officer accessed vehicle DB and leaked - insider
2266,Greece,4/2/2024,175000,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The Hellenic DPA has imposed a fine of EUR 175,000 on the Greek Ministry of Immigration and Asylum. The DPA found that the controller had failed to properly carry out a required data protection impact assessment and had not cooperated properly with the DPA.",not_cyber,High,no DPIA + no cooperation
2766,United Kingdom,6/24/2025,20725,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"The UK DPA has imposed a fine of £ 18,000 (EUR 20,725) on Birthlink. The controller, a scottish registered charity, failed to implement sufficient technical and organisational measures to ensure data security, resulting in the loss of irreplaceable personal records.",cyber_nonmalicious,Medium,loss of irreplaceable records
2879,Greece,6/25/2025,40000,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Greek DPA has imposed a fine of EUR 40,000 on KARAMBELAS KONSTANTINOS & CO. E.E. The processor, which was processing data for a telecommunications provider (ETid: 2878), failed to implement sufficient technical and organisational measures to ensure data security. This resulted in multiple SIM cards being registered in a third person's name.",cyber_malicious,Low,SIM fraud via weak measures
2607,Croatia,3/24/2025,3000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Croation DPA (AZOP) has imposed a fine of EUR 3,000 on a hospital. Despite the extensive and high-risk processing of health data, the hospital had not implemented sufficient organizational measures to ensure the security of data processing. Specifically, measures to ensure the confidentiality of health information were lacking, which undermined trust in medical services and patient privacy. The hospital was fined for breaching Art. 13, Art.32, Art. 33, and Art. 34(1) GDPR.",cyber_nonmalicious,Low,insufficient measures for health data; no incident
1462,Italy,10/6/2022,15000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has fined Servizio Idrico Integrato S.c.p.a. EUR 15,000. The controller had operated a website where personal data was being processed without using an SSL form. The DPA found that the use of an SSL form would have been necessary for the security of the data. It therefore concluded that the controller had failed to implement appropriate technical and organizational measures to protect personal data.",cyber_nonmalicious,Medium,website without SSL
472,Sweden,12/3/2020,390100,Health Care,Insufficient technical and organisational measures to ensure information security,"The Swedish DPA (Integritetsskyddsmyndigheten) fined Karolinska University Hospital of Solna SEK 4,000,000 (EUR 390,100) for failing to implement adequate technical and organizational measures to ensure information security. It was found that there was no risk analysis regarding the access to patient data. Authorizations for users of the hospital information system TakeCare were not assigned according to the principle of minimum access. This gave users full access to confidential patient data that they did not need for work purposes.",cyber_nonmalicious,High,Karolinska no minimum-access patient data
2449,Sweden,8/29/2024,3200000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Swedish DPA has imposed a fine of EUR 3.2 million on Apoteket AB. The controller had used so-called meta pixels on its website which, due to incorrect settings, caused personal data of customers to be transmitted to Meta. The controller had used the tool to improve its marketing on Facebook and Instagram, without intending to transmit the data. During its investigation, the DPA found that the controller had failed to implement appropriate technical and organizational measures to protect personal data in order to avoid such an incident.",cyber_nonmalicious,Medium,meta pixel unintended transfer to Meta
107,The Netherlands,10/31/2019,900000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"As the UWV (the Dutch employee insurance service provider - ""Uitvoeringsinstituut Werknemersverzekeringen"") did not use multi-factor authentication when accessing the online employer portal, security was inadequate. Employers and health and safety services were able to collect and display health data from employees in an absence system.",cyber_nonmalicious,High,no MFA on employer portal; health data accessible
789,Spain,8/2/2021,3000,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA (AEPD) has imposed a fine of EUR 3,000 on Club Náutico el Estacio. A data subject filed a complaint against the controller with the AEPD. The complaint is based on the fact that the controller has published the announcement and the record of the club's ordinary meeting on its website, disclosing personal data without access restrictions.",cyber_nonmalicious,Low,meeting record on website without access restriction; borderline
158,United Kingdom,12/17/2019,320000,Health Care,Insufficient technical and organisational measures to ensure information security,"The company had stored some 500,000 documents containing names, addresses, dates of birth, NHS numbers and medical information and prescriptions in unsealed containers at the back of the building and failed to protect these documents from the elements, resulting in water damage to the documents.",cyber_nonmalicious,High,500k documents in unsealed containers (physical loss)
2978,France,12/22/2025,1700000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The French DPA has imposed a fine of EUR 1,700,000 on NEXPUBLICA FRANCE. The controller, who was a software developer, created and offered a software package designed to manage user relations in the social action sector. Insufficient technical and organisational measures resulted in a cyber incident affecting the software.",cyber_malicious,Medium,cyber incident affecting software
122,Germany,12/3/2019,105000,Health Care,Insufficient technical and organisational measures to ensure information security,The fine is based on several breaches of the GDPR in connection with a patient mix-up at the admission of the patient. This resulted in incorrect invoicing and revealed structural technical and organisational deficits in the hospital's patient management.,cyber_nonmalicious,Medium,"patient mix-up, incorrect invoicing (integrity)"
